,Östersundomin,Östersundomin_Low_CI,Östersundomin_High_CI
2015,2096,2096.0,2096.0
2016,2048,2048.0,2048.0
2017,2016,2016.0,2016.0
2018,2091,2091.0,2091.0
2019,2360,2360.0,2360.0
2020,2804,2804.0,2804.0
2021,3824,3824.0,3824.0
2022,5322,5322.0,5322.0
2023,1758,1758.0,1758.0
2024,1747,988.5892882698429,2505.4107117301573
2025,1775,702.4452856221799,2847.5547143778203
2026,1804,490.39411427889445,3117.6058857211056
2027,1995,478.17857653968576,3511.8214234603142
2028,2156,460.1420937073715,3851.8579062926283
2029,2300,442.2807408000906,4157.719259199909
2030,2447,440.4338651145074,4453.566134885493
2031,2554,408.89057124435976,4699.109428755641
2032,2572,296.7678648095284,4847.232135190472
2033,2581,182.69474906332334,4979.305250936677
2034,2590,74.63623220467798,5105.363767795322
2035,2596,-31.211771442211102,5223.211771442211
2036,2600,-134.4887090042198,5334.488709004219
